date,VIXCLS,DX-Y.NYB,TMSL10Y,SP500,OIL,GOLD,EURUSD,PBOC_FIXING,USDCNH,CYB_ETF
2025-06-16,19.11000061035156,98.0,4.452000141143799,6033.10986328125,71.7699966430664,3396.39990234375,1.1551345586776731,7.178999900817871,,
2025-06-17,21.600000381469727,98.81999969482422,4.39300012588501,5982.72021484375,74.83999633789062,3386.60009765625,1.1482638120651243,7.184500217437744,,
2025-06-18,20.13999938964844,98.91000366210938,4.396999835968018,5980.8701171875,75.13999938964844,3389.800048828125,1.1477497816085815,7.188799858093262,,
2025-06-19,,,,,,,1.1512778997421265,7.188000202178955,,
2025-06-20,20.6200008392334,98.70999908447266,4.375,5967.83984375,74.93000030517578,3368.10009765625,,,,
2025-06-22,,,,,,,1.1500862836837769,7.188000202178955,,
2025-06-23,19.82999992370605,98.41999816894533,4.320000171661377,6025.169921875,68.51000213623047,3377.699951171875,1.1599044799804688,7.178999900817871,,
2025-06-24,17.479999542236328,97.86000061035156,4.293000221252441,6092.18017578125,64.37000274658203,3317.39990234375,1.161224365234375,7.171299934387207,,
2025-06-25,16.760000228881836,97.68000030517578,4.293000221252441,6092.16015625,64.91999816894531,3327.10009765625,1.1683744192123413,7.176400184631348,,
2025-06-26,16.59000015258789,97.1500015258789,4.252999782562256,6141.02001953125,65.23999786376953,3333.5,1.1692214012145996,7.167500019073486,,
2025-06-27,16.31999969482422,97.4000015258789,4.2829999923706055,6173.06982421875,65.5199966430664,3273.699951171875,,,,
2025-06-29,,,,,,,1.1727453470230105,7.172100067138672,,
2025-06-30,16.729999542236328,96.87999725341795,4.230000019073486,6204.9501953125,65.11000061035156,3294.39990234375,1.178717017173767,7.163599967956543,,
2025-07-01,16.829999923706055,96.81999969482422,4.250999927520752,6198.009765625,65.44999694824219,3336.699951171875,1.180553913116455,7.164500236511231,,
2025-07-02,16.639999389648438,96.77999877929688,4.293000221252441,6227.419921875,67.44999694824219,3348.0,1.18002450466156,7.164899826049805,,
2025-07-03,16.3799991607666,97.18000030517578,4.3480000495910645,6279.35009765625,67.0,3331.60009765625,1.1771491765975952,7.164899826049805,,
2025-07-04,,,,,66.5,3332.5,,,,
2025-07-06,,,,,,,1.178078293800354,7.164899826049805,,
2025-07-07,17.790000915527344,97.4800033569336,4.394999980926514,6229.97998046875,67.93000030517578,3332.199951171875,1.1736538410186768,7.1743998527526855,,
2025-07-08,16.809999465942383,97.51000213623048,4.414999961853027,6225.52001953125,68.33000183105469,3307.0,1.1724566221237185,7.173799991607666,,
2025-07-09,15.9399995803833,97.47000122070312,4.3420000076293945,6263.259765625,68.37999725341797,3311.60009765625,1.17311692237854,7.179999828338623,,
2025-07-10,15.779999732971191,97.6500015258789,4.3460001945495605,6280.4599609375,66.56999969482422,3317.39990234375,1.1702749729156494,7.174799919128418,,
2025-07-11,16.399999618530273,97.8499984741211,4.422999858856201,6259.75,68.44999694824219,3356.0,,,,
2025-07-13,,,,,,,1.1682106256484983,7.168099880218506,,
2025-07-14,17.200000762939453,98.08000183105467,4.427000045776367,6268.56005859375,66.9800033569336,3351.5,1.1666297912597656,7.166999816894531,,
2025-07-15,17.3799991607666,98.62000274658205,4.488999843597412,6243.759765625,66.5199966430664,3329.800048828125,1.160739183425903,7.172900199890137,,
2025-07-16,17.15999984741211,98.38999938964844,4.454999923706055,6263.7001953125,66.37999725341797,3352.5,1.1635754108428955,7.178500175476074,,
2025-07-17,16.520000457763672,98.7300033569336,4.4629998207092285,6297.35986328125,67.54000091552734,3340.10009765625,1.161548137664795,7.183199882507324,,
2025-07-18,16.40999984741211,98.4800033569336,4.432000160217285,6296.7900390625,67.33999633789062,3353.0,,,,
2025-07-20,,,,,,,1.163074612617493,7.177700042724609,,
2025-07-21,16.649999618530273,97.8499984741211,4.372000217437744,6305.60009765625,67.19999694824219,3401.89990234375,1.1694538593292236,7.17549991607666,,
2025-07-22,16.5,97.38999938964844,4.335999965667725,6309.6201171875,66.20999908447266,3439.199951171875,1.1739156246185305,7.174300193786621,,
2025-07-23,15.369999885559082,97.20999908447266,4.388000011444092,6358.91015625,65.25,3394.10009765625,1.1774264574050903,7.1595001220703125,,
2025-07-24,15.390000343322754,97.37999725341795,4.4079999923706055,6363.35009765625,66.02999877929688,3371.0,1.1756131649017334,7.153500080108643,,
2025-07-25,14.93000030517578,97.6500015258789,4.386000156402588,6388.64013671875,65.16000366210938,3334.0,,,,
2025-07-27,,,,,,,1.1756821870803833,7.153500080108643,,
2025-07-28,15.029999732971191,98.66000366210938,4.420000076293945,6389.77001953125,66.70999908447266,3309.10009765625,1.1596757173538208,7.177800178527832,,
2025-07-29,15.979999542236328,98.91000366210938,4.329999923706055,6370.85986328125,69.20999908447266,3323.39990234375,1.1550945043563845,7.176400184631348,,
2025-07-30,15.479999542236328,99.94000244140624,4.375999927520752,6362.89990234375,70.0,3295.800048828125,1.1429355144500732,7.176400184631348,,
2025-07-31,16.719999313354492,100.02999877929688,4.360000133514404,6339.39013671875,69.26000213623047,3293.199951171875,1.142374038696289,7.200200080871582,,
2025-08-01,20.3799991607666,98.69000244140624,4.21999979019165,6238.009765625,67.33000183105469,3347.699951171875,,,,
2025-08-03,,,,,,,1.158668041229248,7.211599826812744,,
2025-08-04,17.520000457763672,98.77999877929688,4.199999809265137,6329.93994140625,66.29000091552734,3374.39990234375,1.1584129333496094,7.177999973297119,,
2025-08-05,17.850000381469727,98.77999877929688,4.196000099182129,6299.18994140625,65.16000366210938,3381.89990234375,1.1579166650772097,7.1834001541137695,,
2025-08-06,16.770000457763672,98.18000030517578,4.21999979019165,6345.06005859375,64.3499984741211,3380.0,1.1663167476654053,7.182799816131592,,
2025-08-07,16.56999969482422,98.4000015258789,4.24399995803833,6340.0,63.880001068115234,3400.300048828125,1.1676650047302246,7.181000232696533,,
2025-08-08,15.149999618530272,98.18000030517578,4.284999847412109,6389.4501953125,63.880001068115234,3439.10009765625,,,,
2025-08-10,,,,,,,1.1647952795028689,7.181000232696533,,
2025-08-11,16.25,98.5199966430664,4.2729997634887695,6373.4501953125,63.959999084472656,3353.10009765625,1.1618449687957764,7.187699794769287,,
2025-08-12,14.729999542236328,98.0999984741211,4.293000221252441,6445.759765625,63.16999816894531,3348.89990234375,1.1677058935165403,7.178500175476074,,
2025-08-13,14.489999771118164,97.83999633789062,4.23799991607666,6466.580078125,62.650001525878906,3358.699951171875,1.171289324760437,7.174300193786621,,
2025-08-14,14.829999923706056,98.25,4.293000221252441,6468.5400390625,63.959999084472656,3335.199951171875,1.1651345491409302,7.179500102996826,,
2025-08-15,15.09000015258789,97.8499984741211,4.328000068664551,6449.7998046875,62.79999923706055,3336.0,,,,
2025-08-17,,,,,,,1.1706587076187134,7.181700229644775,,
2025-08-18,14.989999771118164,98.16999816894533,4.341000080108643,6449.14990234375,63.41999816894531,3331.699951171875,1.1668338775634766,7.184599876403809,,
2025-08-19,15.56999969482422,98.2699966430664,4.302000045776367,6411.3701171875,62.34999847412109,3313.39990234375,1.164252758026123,7.181900024414063,,
2025-08-20,15.6899995803833,98.22000122070312,4.296000003814697,6395.77978515625,63.209999084472656,3343.39990234375,1.165175199508667,7.1757001876831055,,
2025-08-21,16.600000381469727,98.62000274658205,4.329999923706055,6370.169921875,63.52000045776367,3336.89990234375,1.16130530834198,7.179900169372559,,
2025-08-22,14.220000267028809,97.72000122070312,4.260000228881836,6466.91015625,63.65999984741211,3374.39990234375,,,,
2025-08-24,,,,,,,1.1709601879119873,7.167500019073486,,
2025-08-25,14.789999961853027,98.43000030517578,4.275000095367432,6439.31982421875,64.80000305175781,3373.800048828125,1.1618449687957764,7.151000022888184,,
2025-08-26,14.619999885559082,98.2300033569336,4.257999897003174,6465.93994140625,63.25,3388.60009765625,1.1639411449432373,7.151999950408936,,
2025-08-27,14.850000381469728,98.2300033569336,4.23799991607666,6481.39990234375,64.1500015258789,3404.60009765625,1.1647952795028689,7.152999877929688,,
